issn|area|titulo|estrato|classificacao
1809-5577|CIÊNCIA DA COMPUTAÇÃO|Bio Farma|C|Atualizada em 2012
1367-4811|CIÊNCIA DA COMPUTAÇÃO|Bioinformatics (Oxford. Online)|A1|Atualizada em 2012
1367-4803|CIÊNCIA DA COMPUTAÇÃO|Bioinformatics (Oxford. Print)|A1|Atualizada em 2012
0973-2063|CIÊNCIA DA COMPUTAÇÃO|Bioinformation (Online) (Chennai)|C|Atualizada em 2012
0340-1200|CIÊNCIA DA COMPUTAÇÃO|Biological Cybernetics|A1|Atualizada em 2012
1432-0770|CIÊNCIA DA COMPUTAÇÃO|Biological Cybernetics (Internet)|A1|Atualizada em 2012
1475-925X|CIÊNCIA DA COMPUTAÇÃO|Biomedical Engineering Online (Online)|B2|Atualizada em 2012
0323-3847|CIÊNCIA DA COMPUTAÇÃO|Biometrical Journal (1977)|B2|Atualizada em 2012
1615-7591|CIÊNCIA DA COMPUTAÇÃO|Bioprocess and Biosystems Engineering (Print)|B2|Atualizada em 2012
0006-3835|CIÊNCIA DA COMPUTAÇÃO|BIT Numerical Mathematics|B1|Atualizada em 2012
1572-9125|CIÊNCIA DA COMPUTAÇÃO|BIT Numerical Mathematics (Dordrecht. Online)|B1|Atualizada em 2012
1471-2105|CIÊNCIA DA COMPUTAÇÃO|BMC Bioinformatics|A1|Atualizada em 2012
1471-2164|CIÊNCIA DA COMPUTAÇÃO|BMC Genomics|B1|Atualizada em 2012
1755-8794|CIÊNCIA DA COMPUTAÇÃO|BMC Medical Genomics|B1|Atualizada em 2012
1471-2180|CIÊNCIA DA COMPUTAÇÃO|BMC Microbiology (Online)|B2|Atualizada em 2012
1471-2229|CIÊNCIA DA COMPUTAÇÃO|BMC Plant Biology (Online)|B2|Atualizada em 2012
1752-0509|CIÊNCIA DA COMPUTAÇÃO|BMC Systems Biology|B2|Atualizada em 2012
1518-160X|CIÊNCIA DA COMPUTAÇÃO|Boletim da SOBRAPO|B5|Atualizada em 2012
1676-014X|CIÊNCIA DA COMPUTAÇÃO|Boletim da Sociedade Brasileira de Meteorologia|B5|Atualizada em 2012
1413-4853|CIÊNCIA DA COMPUTAÇÃO|Boletim de Ciências Geodésicas (Impresso)|C|Atualizada em 2012
0006-6117|CIÊNCIA DA COMPUTAÇÃO|Boletim Técnico da Petrobras (Impresso)|C|Atualizada em 2012
0102-549X|CIÊNCIA DA COMPUTAÇÃO|Boletim Técnico do SENAC|C|Atualizada em 2012
1916-2790|CIÊNCIA DA COMPUTAÇÃO|Botany (Ottawa. Print)|B3|Atualizada em 2012
1516-8913|CIÊNCIA DA COMPUTAÇÃO|Brazilian Archives of Biology and Technology (Impresso)|C|Atualizada em 2012
0100-879X|CIÊNCIA DA COMPUTAÇÃO|Brazilian Journal of Medical and Biological Research (Impresso)|B2|Atualizada em 2012
1517-8382|CIÊNCIA DA COMPUTAÇÃO|Brazilian Journal of Microbiology (Impresso)|C|Atualizada em 2012
1679-8171|CIÊNCIA DA COMPUTAÇÃO|Brazilian Journal of Operations and Production Management|C|Atualizada em 2012
0103-9733|CIÊNCIA DA COMPUTAÇÃO|Brazilian Journal of Physics (Impresso)|B2|Atualizada em 2012
0103-0752|CIÊNCIA DA COMPUTAÇÃO|Brazilian Journal of Probability and Statistics|B4|Atualizada em 2012
1806-8324|CIÊNCIA DA COMPUTAÇÃO|Brazilian Oral Research (Impresso)|C|Atualizada em 2012
0143-6244|CIÊNCIA DA COMPUTAÇÃO|Building Services Engineering Research & Technology|B3|Atualizada em 2012
1867-0202|CIÊNCIA DA COMPUTAÇÃO|Business & Information Systems Engineering|B2|Atualizada em 2012
1463-7154|CIÊNCIA DA COMPUTAÇÃO|Business Process Management Journal|B3|Atualizada em 2012
1809-1946|CIÊNCIA DA COMPUTAÇÃO|Cadernos CPQD Tecnologia|C|Atualizada em 2012
1519-132X|CIÊNCIA DA COMPUTAÇÃO|Cadernos de Informática (UFRGS)|C|Atualizada em 2012
0102-311X|CIÊNCIA DA COMPUTAÇÃO|Cadernos de Saúde Pública (ENSP. Impresso)|C|Atualizada em 2012
0840-8688|CIÊNCIA DA COMPUTAÇÃO|Canadian Journal of Electrical and Computer Engineering|B3|Atualizada em 2012
0008-543X|CIÊNCIA DA COMPUTAÇÃO|Cancer (Print)|B1|Atualizada em 2012
1940-6207|CIÊNCIA DA COMPUTAÇÃO|Cancer Prevention Research (Philadelphia)|B1|Atualizada em 2012
0008-6568|CIÊNCIA DA COMPUTAÇÃO|Caries Research|B2|Atualizada em 2012
1983-5965|CIÊNCIA DA COMPUTAÇÃO|Carta Fundamental|C|Atualizada em 2012
1085-9195|CIÊNCIA DA COMPUTAÇÃO|Cell Biochemistry and Biophysics|B1|Atualizada em 2012
2211-3428|CIÊNCIA DA COMPUTAÇÃO|Cellular Oncology|B2|Atualizada em 2012
1089-7682|CIÊNCIA DA COMPUTAÇÃO|Chaos (Woodbury, N.Y. Online)|B2|Atualizada em 2012
1054-1500|CIÊNCIA DA COMPUTAÇÃO|Chaos (Woodbury, N.Y.)|B2|Atualizada em 2012
0960-0779|CIÊNCIA DA COMPUTAÇÃO|Chaos, Solitons and Fractals|B1|Atualizada em 2012
1747-0277|CIÊNCIA DA COMPUTAÇÃO|Chemical Biology & Drug Design (Print)|B2|Atualizada em 2012
0169-7439|CIÊNCIA DA COMPUTAÇÃO|Chemometrics and Intelligent Laboratory Systems (Print)|B2|Atualizada em 2012
1809-4015|CIÊNCIA DA COMPUTAÇÃO|Chronos (UNIRIO)|C|Atualizada em 2012
0009-6725|CIÊNCIA DA COMPUTAÇÃO|Ciência e Cultura|C|Atualizada em 2012
1984-154X|CIÊNCIA DA COMPUTAÇÃO|Ciência em Tela|C|Atualizada em 2012
0120-1573|CIÊNCIA DA COMPUTAÇÃO|Ciencia Tecnologia y Desarrollo|C|Atualizada em 2012
0748-3007|CIÊNCIA DA COMPUTAÇÃO|Cladistics (Westport. Print)|B1|Atualizada em 2012
0717-5000|CIÊNCIA DA COMPUTAÇÃO|CLEI Electronic Journal|B5|Atualizada em 2012
1078-0432|CIÊNCIA DA COMPUTAÇÃO|Clinical Cancer Research (Print)|B1|Atualizada em 2012
1386-7857|CIÊNCIA DA COMPUTAÇÃO|Cluster Computing|B2|Atualizada em 2012
1092-8529|CIÊNCIA DA COMPUTAÇÃO|CNS Spectrums|B2|Atualizada em 2012
0378-3839|CIÊNCIA DA COMPUTAÇÃO|Coastal Engineering|B2|Atualizada em 2012
