ISSN|area|titulo|estrato|anoBase
1096-9128|Ciência da Computação|Concurrency: Practice & Experience|B1|2008
1063-293X|Ciência da Computação|Concurrent Engineering, Research and Applications|B2|2008
0384-9864|Ciência da Computação|Congressus Numerantium|C|2008
1360-0494|Ciência da Computação|Connection Science (Online)|B1|2008
1572-9354|Ciência da Computação|Constraints (Dordrecht. Online)|B4|2008
0935-1175|Ciência da Computação|Continuum Mechanics and Thermodynamics (Print)|B4|2008
0324-8569|Ciência da Computação|Control and Cybernetics|B2|2008
0967-0661|Ciência da Computação|Control Engineering Practice|A2|2008
0103-1759|Ciência da Computação|Controle & Automação (Impresso)|C|2008
1807-0345|Ciência da Computação|Controle & Automação (Online)|C|2008
1405-1435|Ciência da Computação|Convergencía (Toluca)|C|2008
1983-5930|Ciência da Computação|Culturas Midiáticas|C|2008
1369-5274|Ciência da Computação|Current Opinion in Microbiology|B2|2008
1381-6128|Ciência da Computação|Current Pharmaceutical Design (Print)|B2|2008
0907-0877|Ciência da Computação|Cybernetics & Human Knowing|C|2008
1087-6553|Ciência da Computação|Cybernetics And Systems (Online)|B2|2008
0169-023X|Ciência da Computação|Data & Knowledge Engineering|B1|2008
1384-5810|Ciência da Computação|Data Mining and Knowledge Discovery|A1|2008
1573-756X|Ciência da Computação|Data Mining and Knowledge Discovery (Dordrecht. Online)|A1|2008
1517-3801|Ciência da Computação|Datagramazero (Rio de Janeiro)|C|2008
0167-9236|Ciência da Computação|Decision Support Systems|A2|2008
0929-5585|Ciência da Computação|Design Automation for Embedded Systems|B2|2008
1572-8080|Ciência da Computação|Design Automation For Embedded Systems (Dordrecht. Online)|B2|2008
0747-9360|Ciência da Computação|Design Issues|C|2008
1578-4223|Ciência da Computação|DeSignis (Barcelona)|C|2008
1573-7586|Ciência da Computação|Designs, Codes And Cryptography (Dordrecht. Online)|B1|2008
1095-4333|Ciência da Computação|Digital Signal Processing (Online)|B3|2008
1981-2841|Ciência da Computação|Disciplinarum Scientia. Série Ciências Naturais e Tecnológicas|C|2008
1432-0444|Ciência da Computação|Discrete and Computational Geometry (Internet)|B1|2008
0166-218X|Ciência da Computação|Discrete Applied Mathematics|B1|2008
0012-365X|Ciência da Computação|Discrete Mathematics|B1|2008
1365-8050|Ciência da Computação|Discrete Mathematics and Theoretical Computer Science (Online)|B1|2008
1572-5286|Ciência da Computação|Discrete Optimization|B2|2008
0141-9382|Ciência da Computação|Displays (Guildford)|B1|2008
0926-8782|Ciência da Computação|Distributed and Parallel Databases|B1|2008
1573-7578|Ciência da Computação|Distributed and Parallel Databases (Dordrecht. Online)|B1|2008
0178-2770|Ciência da Computação|Distributed Computing|A2|2008
1432-0452|Ciência da Computação|Distributed Computing (Internet)|A2|2008
1044-789X|Ciência da Computação|Dr. Dobb's Journal (1989)|B4|2008
1201-3390|Ciência da Computação|Dynamics of Continuous, Discrete and Impulsive System|B4|2008
1574-9541|Ciência da Computação|Ecological Informatics (Print)|B2|2008
0304-3800|Ciência da Computação|Ecological Modelling|B2|2008
0101-7330|Ciência da Computação|Educação & Sociedade (Impresso)|B4|2008
0101-465X|Ciência da Computação|Educação (PUCRS. Impresso)|C|2008
0102-3209|Ciência da Computação|Educação Brasileira|C|2008
1532-5008|Ciência da Computação|Electric Power Components and Systems|B4|2008
0948-7921|Ciência da Computação|Electrical Engineering (Berlin. Print)|B2|2008
0717-3458|Ciência da Computação|Electronic Journal of Biotechnology|B4|2008
1072-6691|Ciência da Computação|Electronic Journal of Differential Equations|B3|2008
1571-0653|Ciência da Computação|Electronic Notes in Discrete Mathematics|B2|2008
1571-0661|Ciência da Computação|Electronic Notes in Theoretical Computer Science|B2|2008
0013-5194|Ciência da Computação|Electronics Letters|B2|2008
1350-911X|Ciência da Computação|Electronics Letters (Online)|B2|2008
1382-3256|Ciência da Computação|Empirical Software Engineering|B1|2008
1573-7616|Ciência da Computação|Empirical Software Engineering (Dordrecht. Online)|B1|2008
1518-2924|Ciência da Computação|Encontros Bibli|C|2008
1983127-7|Ciência da Computação|Engenharia de Software Magazine|C|2008
1414-3984|Ciência da Computação|Engenharia na Agricultura|C|2008
