issn|area|titulo|estrato|classificacao
0065-1737|INTERDISCIPLINAR|Acta Zoológica Mexicana|B2|Atualizada em 2012
1850-2032|INTERDISCIPLINAR|Actas de Diseño|B2|Atualizada em 2012
1809-3272|INTERDISCIPLINAR|Actas Freudianas|B4|Atualizada em 2012
0257-0076|INTERDISCIPLINAR|Actes des Colloques Insectes Sociaux|B4|Atualizada em 2012
0981-5597|INTERDISCIPLINAR|Actes du GERPISA|B3|Atualizada em 2012
1518-0204|INTERDISCIPLINAR|Activity Report (Laboratório Nacional de Luz Síncrotron)|B4|Atualizada em 2012
0964-5284|INTERDISCIPLINAR|Acupuncture in Medicine|B1|Atualizada em 2012
1414-7149|INTERDISCIPLINAR|ADAPEC Arquivos|B5|Atualizada em 2012
1518-7438|INTERDISCIPLINAR|Adcontar (UNAMA)|B4|Atualizada em 2012
1866-6116|INTERDISCIPLINAR|ADHD - Attention Deficit and Hyperactivity Disorders|B5|Atualizada em 2012
1518-9929|INTERDISCIPLINAR|Adm. MADE (Universidade Estácio de Sá)|B4|Atualizada em 2012
1676-9457|INTERDISCIPLINAR|Administração de Empresas em Revista|B4|Atualizada em 2012
1676-2657|INTERDISCIPLINAR|Administração em Debate (Campo Grande)|C|Atualizada em 2012
1516-5779|INTERDISCIPLINAR|Administração em Diálogo|B2|Atualizada em 2012
1084-1806|INTERDISCIPLINAR|Administrative Theory & Praxis|B2|Atualizada em 2012
0751-7696|INTERDISCIPLINAR|Adolescence (Paris)|B4|Atualizada em 2012
1679-9941|INTERDISCIPLINAR|Adolescência & Saúde (UERJ)|B2|Atualizada em 2012
0929-5607|INTERDISCIPLINAR|Adsorption (Boston)|A2|Atualizada em 2012
1710-2251|INTERDISCIPLINAR|Advanced Technology for Learning|B2|Atualizada em 2012
0974-6803|INTERDISCIPLINAR|Advances and Applications in Mathematical Sciences|B4|Atualizada em 2012
0974-6811|INTERDISCIPLINAR|Advances and Applications in Statistical Sciences|B5|Atualizada em 2012
2040-4700|INTERDISCIPLINAR|Advances in Animal Biosciences|B5|Atualizada em 2012
0188-7009|INTERDISCIPLINAR|Advances in Applied Clifford Algebras|B1|Atualizada em 2012
0196-8858|INTERDISCIPLINAR|Advances in Applied Mathematics|B1|Atualizada em 2012
0951-7197|INTERDISCIPLINAR|Advances in Cement Research|B1|Atualizada em 2012
0219-5259|INTERDISCIPLINAR|Advances in Complex Systems|A2|Atualizada em 2012
1079-9389|INTERDISCIPLINAR|Advances in Differential Equations|B1|Atualizada em 2012
0965-9978|INTERDISCIPLINAR|Advances in Engineering Software (1992)|A2|Atualizada em 2012
1680-7340|INTERDISCIPLINAR|Advances in Geosciences|B2|Atualizada em 2012
0091-3952|INTERDISCIPLINAR|Advances in Neurology|B3|Atualizada em 2012
1687-9147|INTERDISCIPLINAR|Advances in Operations Research|B4|Atualizada em 2012
1197-8554|INTERDISCIPLINAR|Advances in Peritoneal Dialysis|B3|Atualizada em 2012
1687-6334|INTERDISCIPLINAR|Advances in Pharmacological Sciences|B3|Atualizada em 2012
1615-3871|INTERDISCIPLINAR|Advances in Soft Computing|B3|Atualizada em 2012
0273-1177|INTERDISCIPLINAR|Advances in Space Research|B1|Atualizada em 2012
0309-1708|INTERDISCIPLINAR|Advances in Water Resources|A1|Atualizada em 2012
1518-3769|INTERDISCIPLINAR|Advir (ASDUERJ)|C|Atualizada em 2012
1984-5634|INTERDISCIPLINAR|Aedos: Revista do Corpo Discente do Programa de Pós-Graduação em História da UFRGS|B3|Atualizada em 2012
1090-820X|INTERDISCIPLINAR|Aesthetic Surgery Journal|B2|Atualizada em 2012
0001-9704|INTERDISCIPLINAR|Afinidad (Barcelona)|B1|Atualizada em 2012
0100-8153|INTERDISCIPLINAR|África (USP)|B2|Atualizada em 2012
1991-637X|INTERDISCIPLINAR|African Journal of Agricultural Research|B1|Atualizada em 2012
1684-5315|INTERDISCIPLINAR|African Journal of Biotechnology|B1|Atualizada em 2012
1993-8233|INTERDISCIPLINAR|African Journal of Business Management|B1|Atualizada em 2012
