ISSN|Área|Titulo|Estrato|Ano Base
1607-2510|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematics E-Notes|B5|2008
0893-9659|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematics Letters|B2|2008
1687-1200|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Mathematics Research Express (Print)|B5|2008
0168-9274|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Numerical Mathematics|B1|2008
1559-128X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Optics|B1|2008
1384-6485|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Optimization|B4|2008
0003-6951|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Physics Letters|B2|2008
0035-9254|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Statistics (Print)|A2|2008
1524-1904|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Stochastic Models in Business and Industry (Print)|B2|2008
0169-4332|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Applied Surface Science|B2|2008
1951-2198|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Archimed (Paris)|B3|2008
0003-889X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Archiv der Mathematik (Printed ed.)|B1|2008
0003-9527|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Archive for Rational Mechanics and Analysis (Print)|A1|2008
1542-6149|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Archives of Inequalities and Applications|B4|2008
1212-5059|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Archivum Mathematicum (On-line)|B4|2008
0004-2080|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Arkiv for Matematik|B1|2008
0004-2749|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Arquivos Brasileiros de Oftalmologia (Impresso)|B4|2008
0381-7032|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Ars Combinatoria|B4|2008
0303-1179|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Astérisque|A2|2008
0004-6361|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Astronomy & Astrophysics (Berlin. Print)|A2|2008
0004-640X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Astrophysics and Space Science|B4|2008
0921-7134|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Asymptotic Analysis|B3|2008
1352-2310|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Atmospheric Environment (1994)|B1|2008
1120-6330|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Atti della Accademia Nazionale dei Lincei. Rendiconti Lincei. Matematica e Applicazioni (Testo Stampato)|B2|2008
1369-1473|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Australian & New Zealand Journal of Statistics (Print)|B2|2008
0005-1179|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Automation and Remote Control|B5|2008
1224-2780|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Balkan Journal of Geometry and its Applications|B5|2008
0137-6934|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Banach Center Publications|B3|2008
1931-6690|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bayesian analysis (Online)|B2|2008
0166-4328|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Behavioural Brain Research|B1|2008
0175-4874|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Beitrage zur Algebra und Geometrie / Contributions to Algebra and Geometry|B3|2008
1806-4272|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|BEPA. Boletim Epidemiológico Paulista (Online)|B5|2008
1350-7265|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bernoulli (Andover)|A2|2008
0006-291X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biochemical and Biophysical Research Communications (Print)|B1|2008
1367-4803|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bioinformatics (Oxford. Print)|A1|2008
0340-1200|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biological Cybernetics|B1|2008
0929-1016|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biological Rhythm Research|B5|2008
1083-8791|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biology of Blood and Marrow Transplantation|A2|2008
1679-365X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biomatemática (UNICAMP)|B5|2008
0323-3847|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biometrical Journal (1977)|B1|2008
0006-341X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biometrics (Washington)|A1|2008
0006-3444|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biometrika (London)|A1|2008
0968-0896|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bioorganic & Medicinal Chemistry (Print)|B1|2008
1793-0480|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biophysics Reviews and Letters|B5|2008
1516-3725|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bioscience Journal (UFU. Impresso)|B5|2008
1465-4644|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biostatistics (Oxford. Print)|A2|2008
0303-2647|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Biosystems (Amsterdam. Print)|B1|2008
0006-3835|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|BIT Numerical Mathematics|A2|2008
1471-2105|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|BMC Bioinformatics|A2|2008
1471-2164|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|BMC Genomics|A2|2008
1471-2350|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|BMC Medical Genetics (Online)|B4|2008
0103-636X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bolema. Boletim de Educação Matemática (UNESP. Rio Claro. Impresso)|B1|2008
0037-8712|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Boletim da Sociedade Paranaense de Matemática|B4|2008
0872-3672|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Boletim da Sociedade Portuguesa de Matemática|B5|2008
1575-9822|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Boletín de la Sociedad Española de Matemática Aplicada|B5|2008
0037-8615|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Boletín de la Sociedad Matemática Mexicana|B3|2008

0041-7084|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bollettino della Unione Matematica Italiana|B4|2008
0392-4033||Bollettino della Unione Matematica Italiana. A|B4|2008
0392-4041||Bollettino della Unione Matematica Italiana. B|B4|2008

1687-2762|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Boundary Value Problems (Print)|B3|2008
1516-8913|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Archives of Biology and Technology (Impresso)|B4|2008
0104-6632|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Journal of Chemical Engineering (Impresso)|B4|2008
0100-879X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Journal of Medical and Biological Research (Impresso)|B1|2008
1679-8171|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Journal of Operations and Production Management|B3|2008
1677-3217|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Journal of Oral Sciences (Impresso)|B5|2008
1982-0593|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Journal of Petroleum and Gas|B4|2008
0103-9733|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Journal of Physics (Impresso)|B3|2008
1806-8324|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Oral Research (Impresso)|B4|2008
1980-2447|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Brazilian Review of Econometrics|B2|2008
1678-7544|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin Brazilian Mathematical Society (Impresso)|B1|2008
1678-7714|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin Brazilian Mathematical Society (Online)|B1|2008
0459-6854|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin de la Société des Sciences et des Lettres de Lódz (1960)|B5|2008
0037-9484|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin de la Société Mathématique de France|A2|2008
0007-4497|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin des Sciences Mathématiques (Paris. 1885)|A2|2008
0092-8240|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of Mathematical Biology (Print)|B2|2008
0004-9727|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of the Australian Mathematical Society|B2|2008
1370-1444|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of the Belgian Mathematical Society Simon Stevin|B2|2008
0252-9742|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of the European Association for Theoretical Computer Science|B5|2008
0304-9825|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of the Institute of Mathematics, Academia Sinica|B5|2008
1015-8634|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of the Korean Mathematical Society|B3|2008
0024-6093|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of the London Mathematical Society (Print)|A2|2008
0239-7269|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of the Polish Academy of Sciences. Mathematics|B3|2008
0042-9686|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Bulletin of the World Health Organization (Print)|B4|2008
1677-2334|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Caderno Brasileiro de Ensino de Física|B5|2008
0100-1574|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Cadernos de Pesquisa (Fundação Carlos Chagas. Impresso)|B1|2008
0102-311X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Cadernos de Saúde Pública (ENSP. Impresso)|B3|2008
0944-2669|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Calculus of Variations and Partial Differential Equations|A2|2008
0008-0683|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Calcutta Statistical Association Bulletin|B5|2008
0008-414X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Canadian Journal of Mathematics|B2|2008
0319-5724|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Canadian Journal of Statistics|B1|2008
0008-4395|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Canadian Mathematical Bulletin|B2|2008
1176-9351|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Cancer Informatics|B5|2008
1644-3616|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Central European Journal of Mathematics|B3|2008
1612-7501|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Cesifo Economic Studies (Internet)|B5|2008
0960-0779|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Chaos, Solitons and Fractals|B3|2008
0169-7439|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Chemometrics and Intelligent Laboratory Systems (Print)|B2|2008
0252-9599|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Chinese Annals of Mathematics. Ser. B|B3|2008
0264-9381|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Classical and Quantum Gravity (Print)|B1|2008
0717-5000|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|CLEI Electronic Journal|B5|2008
0392-856X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Clinical and Experimental Rheumatology (Testo stampato)|B2|2008
1386-7857|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Cluster Computing|B1|2008
1092-8529|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|CNS Spectrums|B1|2008
0010-0757|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Collectanea Mathematica|B3|2008
0010-1354|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Colloquium Mathematicum|B3|2008
0963-5483|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Combinatorics, Probability & Computing (Print)|B1|2008
1469-2163|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Combinatorics, Probability and Computing (Online)|B1|2008
0010-2571|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Commentarii Mathematici Helvetici (Printed ed.)|A1|2008
0010-2628|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Commentationes Mathematicae Universitatis Carolinae (Print)|B3|2008
0092-7872|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Algebra|B2|2008
1019-8385|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Analysis and Geometry|B1|2008
1083-2564|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Applied Analysis|B3|2008
0219-1997|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Contemporary Mathematics|B3|2008
0010-3616|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Mathematical Physics|A1|2008
1539-6746|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Mathematical Sciences|B1|2008
1069-8299|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Numerical Methods in Engineering|B2|2008
0360-5302|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Partial Differential Equations|A1|2008
0361-0918|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Statistics. Simulation and Computation|B3|2008
0361-0926|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Statistics. Theory and Methods|B3|2008
0253-6102|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications in Theoretical Physics|B4|2008
1074-133X|MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA|Communications on Applied Nonlinear Analysis|B4|2008
